alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
0.26827,0.000118,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.26827,0.000129,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.26827,0.000142,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0253,3740.7295,f1_score
0.26827,0.000156,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0253,3740.7295,f1_score
0.26827,0.000171,3,5,0.7652,0.0239,0.763,0.0227,0.8327,0.0254,3740.7295,f1_score
0.26827,0.000187,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.26827,0.000206,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0253,3740.7295,f1_score
0.372759,1.7e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.372759,1.8e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.372759,2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,2.2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,2.4e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,2.7e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,2.9e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,3.2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,3.5e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,3.9e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,4.2e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,4.6e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,5.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.372759,5.6e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.372759,6.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
0.372759,6.7e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
0.372759,7.4e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.372759,8.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.372759,8.9e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8327,0.0253,3740.7295,f1_score
0.372759,9.8e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8327,0.0253,3740.7295,f1_score
0.372759,0.000107,3,5,0.7652,0.0239,0.763,0.0227,0.8327,0.0253,3740.7295,f1_score
0.372759,0.000118,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.372759,0.000129,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.517947,1e-05,3,5,0.7652,0.0233,0.763,0.022,0.8326,0.025,3740.7295,f1_score
0.517947,1.1e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.517947,1.3e-05,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
