dataset,alpha,acc,f1_score,roc_auc_score
PROTEINS,0.013895,0.7653,0.7628,0.8327
PROTEINS,0.019307,0.7653,0.7628,0.8327
PROTEINS,0.026827,0.7653,0.7628,0.8327
PROTEINS,0.037276,0.7653,0.7628,0.8327
PROTEINS,0.051795,0.7653,0.7628,0.8327
PROTEINS,0.071969,0.7653,0.7628,0.8327
PROTEINS,0.1,0.7653,0.7628,0.8327
PROTEINS,0.13895,0.7653,0.7628,0.8327
PROTEINS,0.19307,0.7653,0.7628,0.8327
PROTEINS,0.26827,0.7653,0.7628,0.8327
PROTEINS,0.372759,0.7653,0.7628,0.8327
PROTEINS,0.517947,0.7653,0.7628,0.8327
PROTEINS,0.719686,0.7653,0.7628,0.8327
PROTEINS,1.0,0.7463,0.7413,0.8113
ENZYMES,0.01,0.41220000000000007,0.40230000000000005,0.74735
ENZYMES,0.013895,0.41220000000000007,0.40230000000000005,0.7473833333333332
ENZYMES,0.019307,0.41220000000000007,0.40230000000000005,0.7474166666666666
ENZYMES,0.026827,0.41220000000000007,0.40230000000000005,0.7474666666666666
ENZYMES,0.037276,0.41220000000000007,0.40230000000000005,0.74755
ENZYMES,0.051795,0.41220000000000007,0.40230000000000005,0.7475999999999999
ENZYMES,0.071969,0.41220000000000007,0.40230000000000005,0.7476833333333334
ENZYMES,0.1,0.41220000000000007,0.40230000000000005,0.7477833333333334
ENZYMES,0.13895,0.41275,0.4028833333333333,0.7479333333333334
ENZYMES,0.19307,0.41425,0.4045166666666667,0.7482333333333333
ENZYMES,0.26827,0.41650000000000004,0.40703333333333336,0.7487833333333334
ENZYMES,0.372759,0.4189,0.40973333333333334,0.7496999999999999
ENZYMES,0.517947,0.42055,0.41148333333333326,0.7513666666666667
ENZYMES,0.719686,0.4274166666666667,0.4190666666666667,0.7559666666666667
ENZYMES,1.0,0.5866,0.5853,0.8556
MSRC_9,0.01,0.8794,0.8645999999999999,0.9781
MSRC_9,0.013895,0.8794,0.8645999999999999,0.9781
MSRC_9,0.019307,0.8794,0.8645999999999999,0.9781333333333334
MSRC_9,0.026827,0.8794,0.8645999999999999,0.9781333333333334
MSRC_9,0.037276,0.8804,0.8663,0.9781999999999998
MSRC_9,0.051795,0.8813666666666666,0.8675,0.9782333333333333
MSRC_9,0.071969,0.8813666666666666,0.8675,0.9782666666666667
MSRC_9,0.1,0.8843,0.8712,0.9783
MSRC_9,0.13895,0.8862666666666666,0.8734000000000001,0.9783333333333334
MSRC_9,0.19307,0.8882,0.8763,0.9787
MSRC_9,0.26827,0.8892000000000001,0.8773333333333332,0.9786666666666667
MSRC_9,0.372759,0.8912,0.8794,0.9789
MSRC_9,0.517947,0.8961,0.8844,0.9795666666666666
MSRC_9,0.719686,0.903,0.8912999999999999,0.9797666666666668
MSRC_9,1.0,0.9293999999999999,0.9207,0.9823
