dataset,alpha,acc,f1_score,roc_auc_score
BZR_MD,0.026827,0.6717,0.671,0.6965
BZR_MD,0.037276,0.6739,0.6732,0.6994
BZR_MD,0.051795,0.6761,0.6753,0.7021
BZR_MD,0.071969,0.6674,0.6664,0.7024
BZR_MD,0.1,0.6565,0.6553,0.7042
BZR_MD,0.13895,0.6587,0.6575,0.7051
BZR_MD,0.19307,0.6674,0.6642,0.7092
BZR_MD,0.26827,0.6652,0.6592,0.7124
BZR_MD,0.372759,0.6739,0.6658,0.7144
BZR_MD,0.517947,0.6891,0.6787,0.7163
BZR_MD,0.719686,0.6652,0.6446,0.7121
BZR_MD,1.0,0.6239,0.5886,0.6653
Mutagenicity,0.01,0.8146,0.8144,0.8884
Mutagenicity,0.013895,0.8148,0.8146,0.8884
Mutagenicity,0.019307,0.8148,0.8146,0.8885
Mutagenicity,0.026827,0.8149,0.8147,0.8885
Mutagenicity,0.037276,0.8148,0.8146,0.8886
Mutagenicity,0.051795,0.8152,0.815,0.8887
Mutagenicity,0.071969,0.8152,0.815,0.8889
Mutagenicity,0.1,0.8152,0.815,0.8891
Mutagenicity,0.13895,0.8155,0.8153,0.8896
Mutagenicity,0.19307,0.8169,0.8168,0.8901
Mutagenicity,0.26827,0.8166,0.8164,0.891
Mutagenicity,0.372759,0.8178,0.8177,0.8925
Mutagenicity,0.517947,0.8198,0.8197,0.8953
Mutagenicity,0.719686,0.8287,0.8285,0.9009
Mutagenicity,1.0,0.8419,0.8419,0.9152
