dataset,gk_gamma,acc,f1_score,roc_auc_score
MSRC_9,8.7e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,9.3e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.0001,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000107,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000115,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000123,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000132,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000142,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000152,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000163,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000175,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000187,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000201,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000215,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000231,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000248,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000266,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000285,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000305,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000327,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000351,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000376,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000404,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000433,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000464,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000498,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000534,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000572,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000614,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000658,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.000705,0.9265,0.9178000000000001,0.9831
MSRC_9,0.000756,0.9265,0.9178000000000001,0.9831
MSRC_9,0.000811,0.9265,0.9178000000000001,0.9831
MSRC_9,0.00087,0.9265,0.9178000000000001,0.9831
MSRC_9,0.000933,0.9265,0.9178000000000001,0.9831
MSRC_9,0.001,0.9265,0.9178000000000001,0.9831
MSRC_9,0.001072,0.9265,0.9178000000000001,0.9831
MSRC_9,0.00115,0.9265,0.9178000000000001,0.9831
MSRC_9,0.001233,0.9265,0.9178000000000001,0.9831
MSRC_9,0.001322,0.9265,0.9178000000000001,0.9831
MSRC_9,0.001417,0.9265,0.9178000000000001,0.9831666666666666
MSRC_9,0.00152,0.9265,0.9178000000000001,0.9831666666666666
MSRC_9,0.00163,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.001748,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.001874,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.002009,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.002154,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.00231,0.9265,0.9178000000000001,0.9832
MSRC_9,0.002477,0.9265,0.9178000000000001,0.9832
MSRC_9,0.002656,0.9265,0.9178000000000001,0.9831666666666666
MSRC_9,0.002848,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.003054,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.003275,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,0.003511,0.9265,0.9178000000000001,0.9831
MSRC_9,0.003765,0.9265,0.9178000000000001,0.9830333333333333
MSRC_9,0.004037,0.9265,0.9178000000000001,0.983
MSRC_9,0.004329,0.9265,0.9178000000000001,0.983
MSRC_9,0.004642,0.9265,0.9178000000000001,0.9828333333333333
MSRC_9,0.004977,0.9265,0.9178000000000001,0.9827666666666666
MSRC_9,0.005337,0.9265,0.9178000000000001,0.9827
MSRC_9,0.005722,0.9265,0.9178000000000001,0.9827
MSRC_9,0.006136,0.9265,0.9178000000000001,0.9825666666666667
MSRC_9,0.006579,0.9274666666666667,0.9187666666666666,0.9825666666666667
MSRC_9,0.007055,0.9265,0.9175666666666666,0.9823333333333334
MSRC_9,0.007565,0.9255333333333334,0.9158333333333334,0.9821333333333334
MSRC_9,0.008111,0.9255,0.9158,0.9820666666666668
MSRC_9,0.008697,0.9235666666666665,0.9128666666666666,0.9819
MSRC_9,0.009326,0.9225666666666666,0.9109333333333334,0.9815
MSRC_9,0.01,0.9206,0.9087333333333333,0.9812333333333333
COX2,1e-05,0.8282,0.7926,0.8099
COX2,1.3e-05,0.8282,0.7926,0.8099
COX2,1.6e-05,0.8282,0.7926,0.81
COX2,2.1e-05,0.8282,0.7926,0.8098
COX2,2.6e-05,0.8282,0.7926,0.8099
COX2,3.4e-05,0.8282,0.7926,0.8099
COX2,4.3e-05,0.8282,0.7926,0.8099
COX2,5.5e-05,0.8282,0.7926,0.81
COX2,7e-05,0.8282,0.7926,0.8098
COX2,8.9e-05,0.8282,0.7926,0.8098
COX2,0.000113,0.8282,0.7926,0.8098
COX2,0.000144,0.8282,0.7926,0.8097
COX2,0.000183,0.8282,0.7926,0.8096
COX2,0.000234,0.8282,0.7926,0.8096
COX2,0.000298,0.8268,0.7905,0.8097
COX2,0.000379,0.8282,0.7928,0.8099
COX2,0.000483,0.8282,0.7928,0.8098
COX2,0.000616,0.8282,0.7928,0.8094
COX2,0.000785,0.8282,0.7928,0.8092
COX2,0.001,0.8282,0.7928,0.809
NCI1,1e-06,0.8593,0.8591,0.9138
NCI1,2e-06,0.8593,0.8591,0.9141
NCI1,3e-06,0.8601,0.8599,0.9142
NCI1,4e-06,0.8591,0.8589,0.914
NCI1,6e-06,0.8598,0.8596,0.9141
NCI1,9e-06,0.8605,0.8602,0.9141
NCI1,1.3e-05,0.8605,0.8602,0.9141
NCI1,1.8e-05,0.8601,0.8599,0.9141
NCI1,2.6e-05,0.8606,0.8604,0.9141
